,/,淡水3.5萬噸配水池光電站,大潭電廠光電站,大潭電廠GIS廠房光電站,北部儲運中心光電站,中大D/S光電站,平鎮淨水場光電站,大湳淨水場光電站,龜山第三加壓站光電站,龍潭淨水場光電站,龍潭E/S光電站,竹工E/S光電站,卓蘭會館光電站,東興淨水場光電站,后里E/S光電站,中部儲運中心光電站,東勢新伯公光電站,台中電廠光電站,台中龍井光電站,中科E/S光電站,彰化彰濱光電站,彰林E/S光電站,南投大彎光電站,嘉義民雄光電站,義竹工作站光電站,台南鹽田光電站,台南七股光電站,台南七股II光電站,興達電廠光電站,永安鹽灘地光電站,高雄保寧光電站,路北E/S光電站,燕巢倉庫光電站,高雄E/S光電站,高雄E/S停車棚光電站,鳳山水庫光電站,核三廠光電站,澎湖七美光電站,澎湖尖山光電站,蘭嶼電廠光電站,蘭嶼貯存場光電站,金門金沙光電站,金門塔山光電站,金門鵲山光電站,馬祖珠山光電站
378,西林,151946.7366473,140852.9209017,140852.9209017,122231.8544160,131276.8829329,123392.4770171,128563.7286223,137826.4784296,116584.3298021,125018.8114966,113723.3507633,83280.2324896,109062.2210289,90882.1232129,92322.6415231,75742.3706695,107049.6246320,106572.4473187,95185.9822252,109057.6998627,101122.2475958,59485.1472525,105287.0731449,128964.4177594,152672.3803361,154471.1579293,154471.1579293,165165.4245743,165429.9471899,164419.7215521,163044.1661396,157847.8676479,174845.5807037,174845.5807037,177190.3992113,217035.8322351,215536.4594534,182956.7565122,198837.1881611,198664.3521215,317650.7128787,324637.2093975,313624.0910936,300707.4337222
379,光復,168780.6166324,156689.6801123,156689.6801123,138659.1410348,147566.0933037,139636.1612204,145112.3074754,154531.9347212,132931.8116187,140824.8970774,129893.4546713,94122.5545699,123345.9398497,100954.3441692,102398.6272843,85633.3352432,113779.9129731,113525.4768596,102602.7109565,113807.9696679,103067.5433905,60051.8443291,99858.8136875,121933.6550199,144237.0201666,145158.8697556,145158.8697556,153600.5964260,153715.3439034,152489.2663816,151102.9134687,144822.3186279,161612.7289779,161612.7289779,163103.2186198,200634.4094345,209359.2586475,179662.7495712,182149.3820898,182001.8296456,320675.7095401,327182.5921090,316338.7468091,314591.3226822
380,月眉山,152406.8017862,144114.0885300,144114.0885300,124355.9539555,133699.2449253,125948.8101297,130320.9855507,139001.0032925,118934.0939564,128393.6166676,116482.4019792,91169.0184766,114413.1643264,99069.7273679,100499.8891359,84113.3611345,116274.5897184,115742.4193189,104273.6253553,118685.4960155,111076.0888664,69490.7857776,114813.9662457,138196.2354353,161558.0517493,163078.4056053,163078.4056053,172855.9055823,173046.2256817,171924.7094599,170542.5289271,164718.8365082,181590.6184796,181590.6184796,183314.0458858,220307.5319425,225020.0655763,192839.4916989,198361.6161194,198100.2891397,327400.4025177,334446.2443981,323414.7004814,306009.8977149
381,水源,132196.7042014,125140.2447602,125140.2447602,104693.0028960,114178.8538471,106531.7637697,110470.2897785,118933.2330013,99412.8027175,109569.6091657,97234.5747162,80295.5333230,97936.8573634,88874.6697415,90240.9179812,74914.8187300,109648.8206484,108864.1847863,97242.7884337,114333.1321277,110164.2142026,72191.4798453,121644.4955864,146318.3249993,170955.5123085,173423.8161571,173423.8161571,185652.5775914,186011.6126771,185138.9499217,183773.9582716,179207.5749859,196282.9382707,196282.9382707,199024.9662101,239142.9699214,231482.7797621,196284.0797807,218591.8626985,218331.9698018,322781.0996973,330358.3985939,319171.8771162,288806.7657635
382,和中,105420.8366580,109303.9515470,109303.9515470,85570.4775050,95567.7278840,89074.2081937,89423.4104513,95164.6194622,81715.9400499,95408.1891992,81546.0906010,93037.0400943,94401.0646782,102005.2028737,103114.5354044,91416.8110547,127421.3337600,126276.4010239,115199.8318270,135297.7754631,135820.1638788,103386.1137188,154482.7219941,179785.4283303,205122.1413689,208202.2446128,208202.2446128,221711.4999207,222143.3461140,221376.2143752,220020.9977471,215879.7685237,232990.1556908,232990.1556908,235908.3457993,275059.7197773,262840.2156140,224898.4467791,250005.2263095,249600.1988727,339110.0885666,347496.5724086,336146.2373301,276857.5566069
383,大坑,144876.4961494,138310.1564415,138310.1564415,117835.8560860,127343.7528734,119707.1528088,123553.9966431,131872.7276006,112579.6702498,122722.7047549,110414.8864866,90251.4460854,110461.1686958,98522.0690845,99927.1744196,83963.7298210,117465.3873776,116817.4333834,105233.9711074,120882.9420608,114667.7140342,74222.8807844,121248.5146860,145096.7904901,168876.0707296,170666.5991759,170666.5991759,181075.5864239,181304.4767810,180237.7754645,178858.4987540,173288.3693125,190205.0351933,190205.0351933,192092.7174072,229197.6790142,231499.0115581,198261.5854782,206267.8810055,205969.8982668,329746.5204143,337024.7700805,325921.7088984,301646.9469800
384,水璉,153843.0542399,145546.3181942,145546.3181942,125803.6945246,135144.8056384,127392.6177443,131769.9457965,140447.5106220,120379.9336280,129822.2038920,117922.9008367,92253.5095025,115754.9436837,100109.4544592,101541.7044740,85116.8358612,117091.1456632,116574.7740001,105126.7955801,119358.0779344,111530.4323485,69773.0915135,114698.3369555,137957.6394395,161202.8861745,162645.2008791,162645.2008791,172212.4962866,172388.1957283,171245.5015794,169862.3110362,163929.3712586,180777.8238324,180777.8238324,182407.8712570,219086.3056840,224870.7267182,192927.1228500,196938.8192752,196675.1181427,328016.1356498,335025.8222469,324006.0199169,307366.2910657
385,鳳林山,160499.3461798,148521.4190715,148521.4190715,130369.6513891,139298.5172789,131376.0764039,136810.0229501,146226.1625186,124653.4711269,132661.6492105,121646.2832654,87623.6042573,115631.0406617,94777.4008978,96223.6106094,79484.5069244,109039.5332906,108687.3598796,97535.2381917,109948.7744917,100474.4118134,57865.8995794,100938.4504917,123918.0566021,147014.6688680,148419.2469135,148419.2469135,158140.5126560,158341.9720546,157240.4411507,155859.4092195,150216.5530923,167140.8856604,167140.8856604,169156.0367922,208274.6383112,210990.5345413,179784.6154951,190456.2049092,190307.8251533,317807.6975289,324542.3306282,313615.0528646,307068.1110476
386,加路蘭山,166445.0713977,157099.9694815,157099.9694815,137882.7332223,147104.8829607,139287.6234095,143992.9020895,152865.1930099,132360.9007522,141304.4488872,129716.0218579,99442.1836718,125844.5542429,106779.6570761,108225.0313455,91523.8372240,121409.2846732,121051.3858103,109878.9668394,122269.0379858,112448.7694759,69616.4669671,110545.4605839,132649.3064881,154860.8702796,155674.8187544,155674.8187544,163599.0750062,163665.3206795,162367.4148646,160979.1632188,154262.5714732,170922.7855360,170922.7855360,171911.9812659,206751.7263391,220080.6065368,190216.2154046,184246.4804683,183997.8016600,329924.6754684,336582.9122991,325684.0949252,317498.6918045
387,豐濱,177400.1465428,167281.7354544,167281.7354544,148465.9211915,157595.3138619,149736.0730161,154677.2062908,163688.1065747,142877.0930802,151448.6642811,140099.0587305,106565.2371206,134990.4088541,113454.3502055,114899.0681408,98133.5434989,126131.1312255,125903.0023552,115038.8669542,125841.2732601,114450.7103875,71408.9144738,108095.8782339,128947.6895625,150075.0412461,150296.6452861,150296.6452861,156633.6592167,156594.9036246,155151.8236777,153762.7279438,146305.7941954,162743.9842949,162743.9842949,163108.5947502,196119.4959920,216501.6460817,188587.2465397,173247.3365984,173012.9768501,332018.1953308,338367.5772472,327585.3081916,326463.4078109
388,靜浦,191652.7742674,180588.2015202,180588.2015202,162268.7920349,171280.4098423,163377.2414957,168598.0752044,177775.4659034,156604.5335782,164727.5471810,153672.1525969,116545.4670081,147137.0837232,122864.5255305,124296.9783706,107611.2483688,133130.0365192,133059.9030943,122663.6174611,131447.8592747,118247.4746364,75825.6147263,106215.1971136,125095.1876655,144547.2388300,143945.8738502,143945.8738502,148018.3883343,147831.2707931,146189.4268054,144805.9102821,136326.0155934,152379.9477918,152379.9477918,151851.3992168,182235.2768216,212277.4266331,187081.6415771,158980.8602332,158771.9764542,334939.6646279,340880.1679645,330265.7847074,338140.8013418
389,富里,224100.5615500,207527.3436004,207527.3436004,191998.1190770,200245.7885548,192224.9875624,198924.2429553,209067.4462395,186007.6675773,191787.2364317,182330.4628889,133247.4667755,169918.8496993,137449.7293437,138766.2298999,123340.3318250,139880.7050523,140281.8182247,131888.3878526,134231.3122647,116789.4213414,81109.7045195,89990.6344944,102074.5749022,116371.7155838,113817.1436971,113817.1436971,112831.6925215,112355.1220605,110354.5168943,109004.1260452,98783.5290399,114069.8158271,114069.8158271,112391.1674544,143422.9796117,185600.6994844,167697.3517724,130834.0273143,130981.0713776,324984.0559202,329737.8947090,319686.5632247,356473.3859813
390,雙連埤,50912.9613681,66285.8502809,66285.8502809,41969.9811243,50691.2389458,47316.6012374,42019.9211934,43507.1245739,41607.9508339,57396.3210254,44973.4546258,96525.8736204,73434.1605645,103730.5185239,104206.2834257,100614.3062536,131266.6117571,129742.2280761,121294.3549528,143039.3361795,151130.3832554,131955.5642300,181958.7156972,207533.9650688,233841.8323560,238661.9959030,238661.9959030,256590.6202165,257353.4130994,257116.4324754,255835.5995236,254363.1035113,271510.2931466,271510.2931466,276555.3831685,322903.4425838,282700.9669150,239930.8044613,303406.3781216,303083.3000967,328618.3638247,338146.1276457,326764.6951254,230868.2604403
391,礁溪,50933.7037143,75034.8893209,75034.8893209,52049.0108948,59520.6860733,57673.0319121,50243.3411099,48387.4811816,52965.9469369,68334.1403577,57052.3122240,110977.5975609,86948.5892459,118177.2846570,118646.2575769,114988.0785088,145702.6429572,144175.1158315,135748.2479793,157493.4955457,165477.1959889,145370.2307719,195711.1108684,221331.9115170,247611.5870133,252282.0890115,252282.0890115,269750.1849163,270471.5385237,270163.6661837,268870.4342630,266999.8882879,284171.5484205,284171.5484205,288856.7527461,333493.7387696,297044.3622761,254364.9618088,311255.0792411,310863.3321860,341719.8306478,351358.6771621,339991.4387127,235655.1830155
392,玉蘭,57518.1801374,66258.6025090,66258.6025090,41497.7998887,51082.7208328,46264.9025633,43410.3090641,47497.4706542,39630.6139392,55310.0296240,41854.1919317,87504.6132739,67393.5887842,94985.3562520,95534.1945045,91160.0405479,122593.9700944,121096.0035459,112313.0857286,134071.7941520,141591.0262237,121760.1021435,171864.0277517,197460.1088601,223756.9985868,228523.6658150,228523.6658150,246367.8383388,247127.2997821,246885.8917551,245604.4304860,244134.3684025,261280.0205096,261280.0205096,266354.5998450,313072.8754135,273142.0526659,230675.0152294,294624.3200244,294332.0684306,322614.3475064,331979.8610243,320583.9595219,232896.5829997
393,太平山,75164.2003311,74948.3677140,74948.3677140,51399.3405276,61384.0828819,54741.3900498,55752.8445044,62740.7937839,47373.8937523,61173.4047283,47251.9737473,74461.1350054,63896.4879850,82720.4202462,83496.2861058,76448.8409119,110134.6886309,108736.5319148,98990.0298999,120565.7596179,126082.2255796,103222.8213109,153906.1333610,179576.1384503,205787.7090311,210255.1294436,210255.1294436,227435.5404876,228149.2536216,227833.7236227,226539.8294683,224737.3810999,241901.6454751,241901.6454751,246764.7094689,293214.1676369,257211.8034982,215814.3481839,275708.1392116,275453.7106019,316021.0111344,324988.7429992,313586.3069082,242508.9942288
394,南山,82711.3923963,73485.4809297,73485.4809297,52762.2570280,62187.4525438,54551.8856812,58813.1502946,68058.1510281,47420.2066252,58209.9963051,45378.4609513,58368.4612640,53357.1860597,66802.2413251,67644.7803978,60050.7067671,94049.6874239,92680.2609146,82744.5504523,104255.3932824,109686.4749810,88130.8983966,138331.4130965,163959.4698152,190232.4776382,194921.7561628,194921.7561628,212788.4381305,213563.6513409,213353.5419706,212078.3129047,210871.9364110,227989.3370360,227989.3370360,233380.6879295,282233.7899744,240899.2916916,199396.8354064,268623.1750288,268464.6593825,301610.0598806,310398.9849698,299005.1034768,239238.5057850
395,龜山島,62680.8315880,92522.1082944,92522.1082944,70463.5089951,77267.6853728,76130.4159101,67874.6724153,64158.7016056,71799.2097070,86932.5897254,76044.2504706,128833.1394743,106045.9705194,136304.8766871,136837.4686125,132267.3983795,163903.3205829,162398.3540649,153642.7665761,175400.8908126,182532.2435608,160006.0260495,210931.4086833,236612.5092481,262779.6962289,267080.1074688,267080.1074688,283495.4233877,284128.3301521,283673.3586820,282356.8115808,279694.2075564,296880.1752151,296880.1752151,300866.9606951,342404.3493200,313967.9533441,271867.2307136,315909.3902955,315416.1323987,360810.9649126,370463.0616163,359097.3090310,248995.7835536
396,東澳,82394.7759657,96406.3239674,96406.3239674,71646.3904633,81144.8607341,76421.4362431,73147.2264578,75660.6542193,69701.8255617,85252.9218211,71554.1713406,104987.4206049,93768.8419865,113451.7574657,114289.3320341,106088.1888140,140650.9603608,139296.7320067,129196.7001166,150541.0110785,154516.9943457,127083.4300612,178459.9953469,204074.6732001,229922.4572095,233633.6073163,233633.6073163,248652.7424687,249187.8897615,248579.2605593,247242.0251910,243855.2730115,261020.0139228,261020.0139228,264487.2909034,304880.2652337,284543.8700767,244406.9340630,279146.6538824,278698.2606193,347120.7269531,356124.8582197,344721.6240845,262599.6687500
397,南澳,88665.7290749,99588.6048196,99588.6048196,74910.4004108,84669.8446000,79343.0613956,77178.2814589,80753.5603171,72336.1982422,87502.2581281,73584.1417871,101163.0993449,93299.2565381,109820.2352704,110735.7494325,101558.1461633,136680.3634069,135376.8596133,124972.6059138,146066.3798581,149134.5131798,120329.4201740,171717.3992602,197272.7029224,222999.0275670,226538.7506141,226538.7506141,241144.7322542,241651.0661600,240997.7313710,239655.0644621,236054.0972552,253206.6524378,253206.6524378,256515.4863517,296516.4797149,278505.3513403,238943.3974460,270872.5736782,270433.4372184,344930.8132467,353768.3913782,342372.0877280,266627.6328852
398,五結,64758.4934778,83741.8418917,83741.8418917,59431.1845452,68135.4994582,64743.3949603,59364.0221981,59875.9015041,58859.1912436,74683.6223909,61907.4237095,107283.3157952,88713.9413020,115117.6290522,115753.9870576,110073.1967916,142727.4841762,141266.0057619,132043.0137539,153755.8319679,160036.5053503,136703.5801879,187680.1872148,213364.1046104,239509.9387243,243774.1153224,243774.1153224,260210.8009820,260852.7561085,260414.8600054,259101.0967186,256575.8517808,273762.4691260,273762.4691260,277926.8738365,320755.2414007,291279.0753196,249640.8925709,296986.8665577,296570.0932507,343955.7459383,353320.8565922,341924.6377603,247587.5037879
399,頭城,52408.2906227,80227.4914522,80227.4914522,58054.2348558,64913.3325300,63722.0332433,55530.6473511,52285.7209202,59459.8144489,74532.9621388,63792.9193384,118660.4238416,94187.6892284,125849.6919489,126313.6627974,122651.1467146,153366.8507002,151837.2218914,143430.0137906,165174.4395034,173128.9681329,152638.9236800,203111.9685609,228749.0021972,255012.9852563,259615.3316829,259615.3316829,276868.8164624,277570.7410994,277229.8510353,275931.0778389,273874.1631760,291053.3429628,291053.3429628,295566.4108915,339359.9153671,304692.4586865,262045.2812782,315767.9006251,315341.8885014,348649.6628783,358346.0116437,346987.6515257,238344.4651516
400,大礁溪,48476.2856129,67538.5532214,67538.5532214,43791.3962402,51916.7607685,49316.9594271,42887.0464526,42863.2149734,44148.1316246,59752.2880548,47962.4107918,101636.9489926,77428.0838341,108737.0978897,109185.4275267,105869.7338132,136229.5072192,134695.7309909,126377.7452983,148109.3874744,156402.2482327,137382.0011419,187381.2634353,212953.0088846,239262.5309051,244089.3675896,244089.3675896,262007.9068893,262768.1367113,262526.2429912,261244.4636004,259733.7810689,276884.3147499,276884.3147499,281884.4813171,327929.0778708,287969.4695102,245092.1315845,307765.2204369,307423.6431747,332353.2932945,341954.8699057,330582.5761533,230581.5585565
401,北關,51885.9276877,83188.8354483,83188.8354483,62129.2294318,68219.2688410,67798.8700218,58821.8080451,54165.3510640,64117.2471507,78719.8509141,68743.5421902,125454.2328588,99787.9146416,132510.7454776,132940.5280836,129639.6591394,159965.9791623,158424.6985686,150186.9568336,171912.3950973,180153.1082774,159994.4484431,210423.1748029,236052.4754336,262324.4840589,266954.2551245,266954.2551245,284247.4108909,284950.4361240,284610.6826262,283312.0131249,281246.4059729,298426.2027446,298426.2027446,302914.6955170,346443.8647867,311723.7203398,268911.4541957,322171.9578323,321726.0895128,353571.8643032,363361.1487969,352019.7162410,238206.2238022
402,三星,60170.9849910,72158.9976084,72158.9976084,47431.6404185,56801.0192094,52383.5782342,48735.4974097,51701.0899018,45938.0141181,61697.4585229,48385.0740477,93100.3486530,74057.9512461,100765.0242304,101359.5442955,96346.6295598,128386.7894227,126906.7757858,117902.0789277,139649.2190985,146612.6554809,125329.7519332,175830.7381644,201477.9187220,227729.7852293,232306.2145408,232306.2145408,249631.8338840,250348.3729917,250034.6738921,248740.7354310,246886.6148844,264055.8748524,264055.8748524,268808.0240368,314207.7142127,278078.7792733,235954.7214042,294014.7453644,293682.8941356,329233.8440463,338575.6615015,327178.1652222,238206.4517952
403,內城,56325.0547609,72248.1979607,72248.1979607,47820.3782938,56675.1431180,53091.5866606,48068.6483241,49513.6479487,47172.4009357,62996.9106411,50266.5082760,98717.0721199,77728.2306875,106209.3047317,106756.2598277,102266.9435959,133817.0793844,132318.1998260,123526.5376656,145284.8274429,152640.1277839,131837.9861374,182267.9704914,207904.7699501,234169.0780079,238786.3430477,238786.3430477,256183.1484773,256903.1192102,256594.3848797,255301.1851272,253456.8499616,270626.2244163,270626.2244163,275368.1947000,320558.5349466,284161.2982862,241825.9601909,299728.2513776,299377.3005581,333025.8435016,342472.2041566,331082.4335094,236941.7845108
404,冬山,69565.6176563,86214.1488197,86214.1488197,61619.1601734,70700.4193944,66737.7269727,62228.6038434,63676.9807441,60479.8659456,76282.5359540,63077.2766456,104724.1220294,88376.2422037,112763.5736863,113460.4617897,107046.6800764,140314.5465476,138881.5973240,129388.6488939,151034.3632450,156686.4291882,132280.2348897,183403.3727433,209086.5752727,235171.9976557,239303.6549266,239303.6549266,255413.1871822,256030.9812202,255554.2827342,254234.8578698,251518.8685000,268704.7869172,268704.7869172,272722.4104275,315101.7225863,287691.5991826,246441.1206510,291118.7202324,290701.4715845,343293.6601043,352546.5662623,341144.6760080,251181.6260601
405,羅東,62716.8955228,79654.4345350,79654.4345350,55180.4610789,64090.0024896,60407.0258536,55490.7408242,56711.6677829,54362.1307959,70191.4962071,57259.2981214,102579.3834920,83796.5441118,110356.1781408,110977.8594120,105523.8383466,137972.9998728,136504.7870265,127357.5857669,149084.9219795,155601.1411726,132942.6594939,183781.2976969,209458.7836186,235645.1444789,240015.5068109,240015.5068109,256754.7090872,257421.8852625,257025.6919083,255718.3446514,253417.9805202,270602.2982864,270602.2982864,274964.8944431,318663.9872307,286934.4422335,245124.5947017,296085.9112815,295697.3947101,339026.8938352,348387.8044411,336991.3746235,244264.6043117
406,鶯子嶺,46215.4149376,75355.5430116,75355.5430116,53958.1967799,60248.5218364,59631.4581448,50844.0305692,46797.8226736,55884.1883472,70539.4830789,60510.4383963,118013.6384965,91632.2739927,124917.7475439,125313.6610124,122477.3372865,152300.1534055,150748.9125220,142687.2201442,164381.7785093,173023.8275456,153997.4715748,204103.1374071,229684.7204777,255989.9450085,260781.5302038,260781.5302038,278529.3957003,279270.8369028,278995.6952571,277707.9110009,275989.0601127,293153.9595463,293153.9595463,297943.6474071,342789.8761480,304575.7887047,261512.9043621,320334.9071738,319932.0602812,345337.0037792,355125.4508955,343784.1335598,232278.8646354
407,翠峰湖,75826.0794613,80002.4127297,80002.4127297,55769.8762254,65741.0435802,59660.4077673,59233.7545130,64908.0581183,52409.4552569,66992.0006694,53001.4501061,82620.4951148,71767.6282079,90948.7891203,91744.2186674,84320.6103483,118304.7960563,116919.5642875,107061.0070626,128575.7519423,133629.1908107,109326.7526199,160327.3851480,186012.2096243,212143.4305357,216398.1643343,216398.1643343,232979.2141810,233643.0266283,233244.2262376,231936.7998064,229684.5653778,246866.8755474,246866.8755474,251343.1250771,296158.5571163,264505.8164540,223453.7920599,276388.7368078,276081.5140026,324351.6543307,333332.0008727,321929.2550681,247593.7811177
408,大福,55477.7310553,80252.8962071,80252.8962071,57184.1727188,64730.8140758,62794.1680241,55461.5336849,53521.1498876,57962.6723013,73410.4626398,61934.8239669,114282.4369920,91429.5363819,121662.0800574,122174.8787280,117954.5661278,149242.8314750,147730.6998671,139085.2866067,160843.3700463,168342.8137988,147104.2807391,197721.4542077,223377.2104102,249616.0821920,254132.4768912,254132.4768912,271184.4580853,271871.8930453,271507.5675022,270205.0759497,268038.1921599,285220.2119273,285220.2119273,289655.5387613,333275.8476090,299865.8257692,257489.2751640,309786.6996556,309367.1320832,346408.5836291,356005.3994719,344632.0994755,240622.6173400
409,坪林石牌,47470.8587829,74353.5137793,74353.5137793,52234.3033363,59037.1454515,57905.7698580,49653.9018931,46555.5061868,53761.7217464,68739.8545881,58190.0738058,114457.4463997,88893.8951422,121462.1100177,121882.8871151,118777.1428990,148900.3663737,147356.9420880,139169.5999668,160885.3267921,169313.7766068,149983.7380736,200149.0229062,225741.8099191,252041.0205470,256801.5893088,256801.5893088,274485.6845522,275223.1059233,274941.6167845,273652.7931892,271909.2665415,289075.1420396,289075.1420396,293853.8593903,338747.6150226,300878.8487296,257939.1957771,316556.6738619,316162.4032055,343078.8199944,352808.6109478,341456.2235612,233028.0380803
410,員山,55316.9549650,74045.4732807,74045.4732807,49954.6752692,58421.0569536,55373.2577182,49536.9484417,49900.9299553,49801.7674750,65563.2557028,53223.8310297,103187.0474015,81473.1459628,110629.1731429,111161.5772238,106803.8673998,138227.1992472,136722.6999146,127994.4051964,149753.2153132,157191.7144692,136332.1536110,186804.0617450,212444.8866228,238704.6085759,243301.4267648,243301.4267648,260620.5173484,261332.7581675,261010.6623931,259715.1762810,257791.0167225,274964.3250593,274964.3250593,279628.5932748,324405.5063776,288718.5521369,246347.5798566,302837.6953070,302467.4298707,336724.3828645,346221.1800971,334836.2034148,237605.8361536
411,土場,67046.1272306,66920.0680009,66920.0680009,43095.6868812,53091.5222014,46629.9717940,47298.7346050,54315.0261502,39298.0826744,53562.0498728,39575.9378211,74362.1887539,59063.3623195,82188.4057083,82835.7929564,77436.9707815,109794.4559959,108335.5857676,99138.6865079,120867.7193506,127703.1143507,107404.9516029,157501.1574681,183104.2406443,209396.5807711,214151.9525376,214151.9525376,232053.5225051,232823.0583106,232600.4863282,231322.6235127,229989.8837270,247122.5024057,247122.5024057,252349.6975798,300028.6009562,259187.8478931,217048.9624569,283641.0046986,283405.1248584,312984.0447589,322127.2648596,310723.0102392,234542.6493862
412,鴛鴦湖,65527.5639548,60485.4879461,60485.4879461,37649.0039885,47515.3098765,40480.6855237,42856.6688536,51303.1621924,33102.5170256,46400.9040967,32544.0283614,67463.6140803,50522.4488093,74987.1896761,75559.1612922,71250.7637080,102605.1111165,101115.9708549,92272.3879760,114031.0068847,121752.2212316,103820.4548091,153152.7846872,178642.0364085,204972.8944507,210002.5932615,210002.5932615,228636.0585574,229466.3288137,229347.6958208,228089.2843720,227306.7216084,244382.8025091,244382.8025091,250057.5349983,299487.0203594,253322.6963875,210680.4147686,285430.0450686,285245.7582934,304612.2645957,313794.7990718,302391.1763154,227888.3158077
413,多加屯,90408.3992435,80076.5283416,80076.5283416,60048.9060214,69316.9924907,61569.6277478,66274.9906979,75684.5986702,54555.3891609,64568.2409020,52177.2004270,56083.9439136,56769.3008270,64833.0281547,65802.3449793,56533.3370217,91532.7815619,90237.5650058,79832.1860635,101025.7418897,105203.8406957,81619.7549239,132230.1439872,157899.7407829,184113.6000737,188611.8831102,188611.8831102,206039.4061341,206782.9937362,206520.7349837,205236.3656615,203782.9368504,220920.2834188,220920.2834188,226140.7859727,274591.4613403,235953.1737425,195079.3061703,261042.0128889,260892.6046085,301103.7088947,309704.6438276,298326.7698679,244884.8366517
414,白嶺,72629.4288296,72600.8511197,72600.8511197,48940.5719399,58931.3098431,52358.5359258,53219.8309293,60168.6741154,45001.6315088,58969.0341079,45017.4643076,74603.1501097,62577.4496835,82741.3301672,83479.0540433,76922.2528831,110236.6648106,108819.2136110,99232.2368101,120867.9301362,126783.1548754,104670.1614898,155200.1023170,180856.1462101,207095.4631833,211646.9482370,211646.9482370,229036.4579934,229766.1523607,229477.0498768,228187.5911622,226517.8257460,243674.5768989,243674.5768989,248639.8550104,295425.2181470,258047.0245765,216423.8257785,278195.8110745,277945.4728064,315338.6506808,324361.7306252,312957.9566412,240194.0304555
415,西德山,74990.6362746,87294.4470704,87294.4470704,62534.0913567,72098.5721610,67256.6167199,64245.8625458,67277.0210596,60503.2797862,76039.1185280,62340.4208651,98209.8665225,85027.9722507,106483.0473130,107255.3646930,99949.1915752,133889.0017970,132494.7276223,122686.8470193,144211.1285558,149130.2316914,123687.2271534,174909.9257526,200584.1006197,226612.5424035,230637.4741279,230637.4741279,246515.7774146,247118.7521226,246619.0857147,245296.4773836,242482.6199344,259667.5252570,259667.5252570,263630.1875346,306048.6334620,279814.7858500,238987.4624255,282672.8476845,282276.5498889,338977.9718779,348071.3917009,336666.9362129,253756.7543429
416,西帽山,77678.7489424,91730.3869225,91730.3869225,66977.0025886,76426.1956717,71808.5862235,68370.5650625,70829.3567361,65157.1519525,80772.2873001,67148.9404540,102908.7029133,90118.5721937,111244.2295315,112036.3858874,104433.6862193,138593.7324776,137211.6622455,127307.3629600,148777.0098167,153356.4693207,127076.6006050,178387.9063754,204042.4340691,229996.3932533,233881.9457000,233881.9457000,249367.4376494,249938.5738691,249387.3053901,248057.5414376,244967.8635211,262145.7690128,262145.7690128,265865.1475543,307238.9455443,283805.1996485,243242.1703715,282525.9005034,282098.5587898,344032.4785317,353112.2253477,341707.8386041,257798.1152788
417,樟樹山,91256.5603845,100188.5067371,100188.5067371,75657.9839287,85528.3196518,79864.9024654,78376.1291006,82595.0364637,72726.0334275,87592.4337080,73614.0783836,97915.5542091,91825.2569872,106651.4216073,107603.6246812,97972.3394226,133313.5057196,132035.3674948,121498.7101182,142457.0575140,145124.7379889,115808.1006859,167186.8883075,192719.6061725,218406.4014812,221897.1848294,221897.1848294,236405.0492431,236905.9193660,236244.5748855,234900.9998108,231270.7150151,248421.9930951,248421.9930951,251723.0900479,291852.3275907,274204.4907878,234870.9248596,266684.3224080,266260.1664719,342335.4444549,351088.2878314,339697.6849881,267563.3733613
418,桃源谷,49918.3714236,83937.7227475,83937.7227475,64068.0539831,69390.8362592,69689.8644353,60073.7209786,54223.1697205,66592.0460034,80640.2355911,71470.7249800,130119.5102716,103051.6636387,136984.2565278,137367.3654283,134594.5005245,164332.8205584,162776.9576019,154779.1826346,176464.0132611,185139.8977302,165726.9071271,215995.3801275,241599.2350385,267891.7821327,272609.8708198,272609.8708198,290113.0822274,290831.5168483,290516.8646052,289222.2674667,287275.8959612,304451.9428795,304451.9428795,309026.9091956,352772.9406386,316694.2559256,273620.2242063,328465.4293602,328014.8092262,355885.1568556,365771.3275990,354451.0357995,235941.5211192
419,大溪漁港,52294.4014282,85592.1172077,85592.1172077,65272.4911728,70887.6287342,70918.6982879,61531.5670609,56071.1703059,67581.2750035,81866.3320593,72356.2388510,130032.4402016,103710.7698626,137013.9602104,137424.5801090,134322.3358843,164428.1286382,162880.5460985,154739.7414521,176451.0926834,184849.9091565,164856.6121099,215267.1082808,240892.6812043,267168.2220053,271809.9018058,271809.9018058,289113.8247186,289816.3963546,289475.4545838,288176.5399201,286095.5487253,303276.0093461,303276.0093461,307740.6474022,351068.2425841,316419.1794649,273514.9822879,326325.7388208,325866.4122014,356994.6699798,366840.5374390,355510.9357725,238421.8614698
