,站號,站名,站種,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
139,C0E920,通霄漁港,局屬自動站,20.0,120.673876,24.498589,苗栗縣,通霄鎮漁港路69號(通霄安檢所樓頂),2022-03-09,,,,
140,C0E930,龍鳳,局屬自動站,26.0,120.859125,24.700034,苗栗縣,竹南鎮龍鳳里龍江街359巷5號(龍鳳安檢所樓頂),2022-03-09,,,,
141,C0F0A0,雪山圈谷,局屬自動站,3587.0,121.236339,24.388594,臺中市,和平區(往雪山主峰路上9.8公里處右邊),2016-07-15,,,,
142,C0F0B0,石岡,局屬自動站,311.0,120.777644,24.276061,臺中市,石岡區石岡街6號 (臺中市石岡區衛生所),2016-10-01,,,,
143,C0F0C0,中坑,局屬自動站,983.0,120.903319,24.248517,臺中市,和平區中坑里中坑段39地號內,2017-06-14,,,,
144,C0F0D0,審馬陣,局屬自動站,3171.0,121.4203,24.381675,臺中市,和平區南湖大山指標16.2K處(審馬陣山附近),2017-12-28,,,,
145,C0F0E0,南湖圈谷,局屬自動站,3557.0,121.444667,24.363714,臺中市,和平區南湖大山指標20K處(南湖主峰東峰岔路附近),2017-12-28,,,,
146,C0F850,東勢,局屬自動站,379.0,120.833047,24.246428,臺中市,東勢區東關路647號(東勢林區管理處雙崎工作站內),2011-11-01,,原(C1F850)站因擴充為氣象站，於2011/11/1升級為(C0F850)站。,C1F850,
147,C0F861,梨山,局屬自動站,2215.0,121.243669,24.247522,臺中市,和平區梨山里福壽路29號（福壽山農場）,2004-07-01,,,C0F860,
148,C0F930,大甲,局屬自動站,100.0,120.640403,24.347667,臺中市,大甲區開元路71號(大甲高級工業職業學校內),2011-11-01,,原(C1F930)站因擴充為氣象站，於2011/11/1升級為(C0F930)站。,C1F930,
149,C0F970,大坑,局屬自動站,145.0,120.722289,24.173142,臺中市,北屯區軍福十三路268號(東山消防分隊),2011-11-01,,原(C1F970)站因擴充為氣象站，於2011/11/1升級為(C0F970)站。,C1F970,
150,C0F9A0,中竹林,局屬自動站,425.0,120.751061,24.103556,臺中市,太平區長龍路中埔二號橋至站址直線距離約1.7km,2011-11-01,,原(C1F9A0)站因擴充為氣象站，於2011/11/1升級為(C0F9A0)站。,C1F9A0,
151,C0F9I0,神岡,局屬自動站,194.0,120.658314,24.272481,臺中市,神岡區三民路639號(圳堵國小校園南側大樓屋頂平台),2011-11-01,,原(C1F9I0)站因擴充為氣象站，於2011/11/1升級為(C0F9I0)站。,C1F9I0,
152,C0F9K0,大安,局屬自動站,30.0,120.588025,24.345061,臺中市,大安區中庄里中山南路296號(大安國小),2011-11-01,,,,
153,C0F9L0,后里,局屬自動站,253.0,120.729725,24.310436,臺中市,后里區甲后路110號(后里國小),2011-11-01,,,,
154,C0F9M0,豐原,局屬自動站,230.0,120.720692,24.254322,臺中市,豐原區豐榮里12鄰新生北路155號(豐原國小),2011-11-01,,,,
155,C0F9N0,大里,局屬自動站,75.0,120.701378,24.092464,臺中市,大里區文化街120號(塗城國小),2011-11-01,,,,
156,C0F9O0,潭子,局屬自動站,175.0,120.703933,24.213106,臺中市,潭子區中山路二段435號(潭子國小),2011-11-01,,,,
157,C0F9P0,清水,局屬自動站,26.0,120.562242,24.312297,臺中市,清水區護岸路37號(高美國小),2011-11-01,,,,
158,C0F9Q0,外埔,局屬自動站,149.0,120.705686,24.347817,臺中市,外埔區土城里土城西路55號(安定國小),2011-11-01,,,,
159,C0F9R0,龍井,局屬自動站,20.0,120.528972,24.184536,臺中市,龍井區西里龍門路51號(龍井國小),2011-11-01,,,,
160,C0F9S0,烏日,局屬自動站,43.0,120.624103,24.107058,臺中市,烏日區中山路二段196號(烏日國小),2011-11-01,,,,
161,C0F9T0,西屯,局屬自動站,111.0,120.641275,24.179494,臺中市,西屯區西屯路二段300號(西屯國小),2011-11-01,,,,
162,C0F9U0,南屯,局屬自動站,74.0,120.637969,24.137006,臺中市,南屯區黎明路一段968號(南屯國小),2011-11-01,,,,
163,C0F9V0,新社,局屬自動站,525.0,120.815806,24.200172,臺中市,新社區大南里興中街46號(農委會種苗改良繁殖場),2011-11-01,,,,
164,C0F9X0,大雅(中科園區),局屬自動站,166.0,120.62445,24.21528,臺中市,大雅區中部科學工業園區臺中園區(汙水處理機房樓頂),2015-08-21,,,,
165,C0F9Y0,桃山,局屬自動站,3313.0,121.303808,24.432739,臺中市,和平區(位於往桃山山屋叉路解說牌附近),2016-07-15,,,,
166,C0F9Z0,雪山東峰,局屬自動站,3193.0,121.268675,24.388792,臺中市,和平區(位於雪山東峰直升機停機坪東南東方60公尺處),2016-07-15,,,,
167,C0FA00,烏石坑,局屬自動站,983.0,120.94762,24.2735,臺中市,和平區東崎路2段烏石巷109號,2020-10-31,,,,
168,C0FA10,松柏,局屬自動站,22.0,120.617482,24.429115,臺中市,大甲區順帆路233號(松柏安檢所樓頂),2022-03-09,,,,
169,C0FA20,溫寮,局屬自動站,26.0,120.583125,24.372177,臺中市,大安區中山北路1巷67號(臺中大安區里民活動中心樓頂),2022-03-09,,,,
170,C0FA30,梧棲,局屬自動站,31.73,120.523381,24.256003,臺中市,梧棲區臺灣大道十段2號海港大樓6樓,2022-08-01,,本站站碼於2022/8/1由467770改為C0FA30。,467770,
171,C0FA40,臺中電廠,局屬自動站,25.0,120.4907,24.2146,臺中市,龍井區龍昌路1號,2022-12-26,,,,
172,C0FA50,霧峰,局屬自動站,58.0,120.6995,24.0419,臺中市,霧峰區新生路192號(921地震教育園區內),2023-03-10,,,,
173,C0G620,芬園,局屬自動站,110.0,120.6213,24.015678,彰化縣,芬園鄉楓坑村大埔崙產業道路上(芬園往臺灣民俗村路上),2011-11-01,,原(C1G620)站因擴充為氣象站，於2011/11/1升級為(C0G620)站。,C1G620,
174,C0G640,鹿港,局屬自動站,17.0,120.430481,24.0753,彰化縣,鹿港鎮海埔里顏厝巷67號(行政院退輔會魚殖管理處彰化分場內),1992-07-01,,,,
175,C0G650,員林,局屬自動站,34.0,120.585597,23.946503,彰化縣,員林市萬年里明倫路2號(明倫國中內),1992-07-01,,本站於2011/3/10進行儀器汰換，於2011/11/1完成驗收。,,
176,C0G660,溪湖,局屬自動站,27.0,120.479122,23.94835,彰化縣,溪湖鎮大竹里彰水路2段725號(湖南國民小學內),2011-11-01,,原(C1G660)站因擴充為氣象站，於2011/11/1升級為(C0G660)站。,C1G660,
177,C0G720,溪州,局屬自動站,50.0,120.499093,23.851589,彰化縣,溪州鄉溪下路四段560號(溪州鄉公所),2015-07-03,,,,
178,C0G730,二林,局屬自動站,27.0,120.376081,23.903325,彰化縣,二林鎮仁愛路200號(二林消防分隊),2015-07-03,,原中西(C1G700)站因移位及擴充為氣象站，於2015/7/1升級為(C0G730)站，站名更變為二林。,C1G700,
179,C0G740,大城,局屬自動站,24.0,120.320935,23.852487,彰化縣,大城鄉東城村中平路185號(大城鄉公所),2015-07-03,,,,
180,C0G770,福興,局屬自動站,15.0,120.437669,24.041289,彰化縣,福興鄉員鹿路二段270號(福興國中),2011-11-01,,,,
181,C0G780,秀水,局屬自動站,27.0,120.503869,24.03405,彰化縣,秀水鄉安東村中山路257號(秀水國小),2011-11-01,,,,
182,C0G800,埔鹽,局屬自動站,15.0,120.431683,24.000394,彰化縣,埔鹽鄉永樂村永樂路600號(永樂國小),2011-11-01,,,,
183,C0G810,埔心,局屬自動站,26.0,120.525456,23.947633,彰化縣,埔心鄉舊館村員鹿路四段201號(舊館國小),2011-11-01,,,,
184,C0G820,田尾,局屬自動站,29.0,120.509389,23.901669,彰化縣,田尾鄉中正路二段101號(仁豐國小),2011-11-01,,,,
185,C0G830,埤頭,局屬自動站,27.0,120.452806,23.866003,彰化縣,埤頭鄉大湖村大湖路260號(大湖國小),2011-11-01,,,,
186,C0G840,北斗,局屬自動站,32.0,120.514222,23.877586,彰化縣,北斗鎮斗苑路二段150號(螺陽國小),2011-11-01,,,,
187,C0G860,社頭,局屬自動站,45.0,120.5862,23.897647,彰化縣,社頭鄉社斗路一段258號(社頭國小),2011-11-01,,,,
188,C0G870,芳苑,局屬自動站,12.0,120.320025,23.922303,彰化縣,芳苑鄉仁愛村斗苑路芳苑段211號(芳苑國中),2011-11-01,,,,
189,C0G880,二水,局屬自動站,92.0,120.6173,23.810742,彰化縣,二水鄉文化村119號(二水國小),2011-11-01,,,,
190,C0G890,伸港,局屬自動站,24.0,120.484403,24.148933,彰化縣,伸港鄉新港村和平路60號(新港國小),2011-11-01,,,,
191,C0G900,線西,局屬自動站,20.0,120.443536,24.143358,彰化縣,線西鄉慶福路300號（彰濱工業區線西服務大樓內),2019-11-22,,,,
